participantId,condition,ideology_all_zeros,idx_of_question,who_answers_first,bot_detection,ideology,bot_ideology,ideology_distance,answer,bot_answer,answer_distance,affection_competence,affection_warmth
009FE64FA74E46D7978DA02606B0C060,3,False,0,1,True,0.0,"[1.2, -1.5]","[1.2, 1.5]",2.3,"[0.21349582307180537, 0.5907284642793211]",2.3816666666666664,1,0
009FE64FA74E46D7978DA02606B0C060,3,False,3,2,True,0.0,[-1.5],1.5,0.8499999999999996,[2.4499999999999993],1.5999999999999996,0,0
009FE64FA74E46D7978DA02606B0C060,3,False,2,1,True,0.0,"[1.2, -1.5]","[1.2, 1.5]",-0.8666666666666671,"[-2.2893761339245584, 1.8030091546955846]",1.6251851851851853,1,0
009FE64FA74E46D7978DA02606B0C060,3,False,1,2,True,0.0,[-1.5],1.5,-1.1,[1.8],2.9000000000000004,0,0
009FE64FA74E46D7978DA02606B0C060,3,False,4,0,True,0.0,[1.2],1.2,-2.5,[2.7],5.2,0,-1
009FE64FA74E46D7978DA02606B0C060,3,False,5,0,True,0.0,[1.2],1.2,-2.9,[2.9],5.8,0,-1
01A6EF5235F344B3A7D270BFD97FF693,3,False,4,1,True,0.0,"[1.0, 0.0]","[1, 0]",-1.9,"[1.6246377100300826, -0.8751162307313409]",2.1016666666666666,1,-1
01A6EF5235F344B3A7D270BFD97FF693,3,False,2,0,True,0.0,[1.0],1,1.0,[0.7999999999999998],0.20000000000000018,-1,-1
01A6EF5235F344B3A7D270BFD97FF693,3,False,1,2,True,0.0,[0.0],0,-1.0,[2.5],3.5,1,1
01A6EF5235F344B3A7D270BFD97FF693,3,False,3,2,True,0.0,[0.0],0,3.0,[-1.4499999999999993],4.449999999999999,1,1
01A6EF5235F344B3A7D270BFD97FF693,3,False,0,1,True,0.0,"[1.0, 0.0]","[1, 0]",3.0,"[2.1502492827467528, 0.9826075958693772]",3.0,1,-1
01A6EF5235F344B3A7D270BFD97FF693,3,False,5,0,True,0.0,[1.0],1,-2.0,[-1.8],0.19999999999999996,-1,-1
02673988CCD94CD29BC5AA5599730EE4,3,True,0,1,False,0.0,"[0.0, 0.0]","[0, 0]",3.0,"[1.6522822901091185, -1.8204111281344373]",3.0,0,0
02673988CCD94CD29BC5AA5599730EE4,3,True,1,0,False,0.0,[0.0],0,-3.0,[2.8],5.8,0,0
02673988CCD94CD29BC5AA5599730EE4,3,True,5,2,False,0.0,[0.0],0,-3.0,[-0.9],2.1,0,0
02673988CCD94CD29BC5AA5599730EE4,3,True,2,1,False,0.0,"[0.0, 0.0]","[0, 0]",-2.0,"[-1.2240404651870023, -0.13006984946438216]",2.1666666666666665,0,0
02673988CCD94CD29BC5AA5599730EE4,3,True,3,0,False,0.0,[0.0],0,-3.0,[-2],1.0,0,0
02673988CCD94CD29BC5AA5599730EE4,3,True,4,2,False,0.0,[0.0],0,1.1,[-0.4],1.5,0,0
036D9C8010574494A5069728410F3D88,3,False,0,1,False,1.3,"[0.0, 1.0]","[1.3, 0.30000000000000004]",1.4,"[-2.3656411523818592, -1.2003251402604758]",1.8266666666666664,0,0
036D9C8010574494A5069728410F3D88,3,False,3,2,False,1.3,[1.0],0.30000000000000004,2.5,[-1.6500000000000004],4.15,0,0
036D9C8010574494A5069728410F3D88,3,False,1,0,False,1.3,[0.0],1.3,-1.8,[-0.3],1.5,0,0
036D9C8010574494A5069728410F3D88,3,False,4,0,False,1.3,[0.0],1.3,-1.9,[2.5],4.4,0,0
036D9C8010574494A5069728410F3D88,3,False,5,2,False,1.3,[1.0],0.30000000000000004,2.0,[2.2],0.20000000000000018,0,0
036D9C8010574494A5069728410F3D88,3,False,2,1,False,1.3,"[0.0, 1.0]","[1.3, 0.30000000000000004]",2.133333333333333,"[-1.4599647511021425, -1.8981339374784163]",2.258518518518518,0,0
0474482512B64E23A3FA72F2802AAD17,3,False,5,1,True,-0.1,"[0.3, -0.4]","[0.4, 0.30000000000000004]",3.0,"[2.4675948114533712, -0.3892484086748924]",3.0,0,0
0474482512B64E23A3FA72F2802AAD17,3,False,0,1,True,-0.1,"[0.3, -0.4]","[0.4, 0.30000000000000004]",-3.0,"[-1.3446538907453986, 0.008966724077728028]",3.0,0,0
0474482512B64E23A3FA72F2802AAD17,3,False,1,2,True,-0.1,[-0.4],0.30000000000000004,3.0,[0.6],2.4,0,-1
0474482512B64E23A3FA72F2802AAD17,3,False,4,0,True,-0.1,[0.3],0.4,0.0,[0],0.0,0,0
0474482512B64E23A3FA72F2802AAD17,3,False,2,0,True,-0.1,[0.3],0.4,-4.440892098500626e-16,[-0.3333333333333335],0.33333333333333304,0,0
0474482512B64E23A3FA72F2802AAD17,3,False,3,2,True,-0.1,[-0.4],0.30000000000000004,-1.75,[1.5],3.25,0,-1
0638D16541494716AE68D3E4A07457BF,3,False,5,1,True,-2.0,"[-1.0, 1.0]","[1, 3]",2.0,"[-0.6520825557595771, -2.9169167528939743]",2.1666666666666665,0,0
0638D16541494716AE68D3E4A07457BF,3,False,1,0,True,-2.0,[-1.0],1,0.8,[-1],1.8,0,0
0638D16541494716AE68D3E4A07457BF,3,False,0,2,True,-2.0,[1.0],3,1.1,[-2.7],3.8000000000000003,0,0
0638D16541494716AE68D3E4A07457BF,3,False,3,0,True,-2.0,[-1.0],1,-1.0,[-1.75],0.75,0,0
0638D16541494716AE68D3E4A07457BF,3,False,2,1,True,-2.0,"[-1.0, 1.0]","[1, 3]",0.39999999999999947,"[-0.9881097926514517, 2.127646303105597]",1.5266666666666666,0,0
0638D16541494716AE68D3E4A07457BF,3,False,4,2,True,-2.0,[1.0],3,-1.0,[-0.7],0.30000000000000004,0,0
074319D7838A4620AC283635EBA30D3C,3,True,0,1,True,0.0,"[0.0, 0.0]","[0, 0]",1.2,"[2.6871056872987573, -0.6033259837761249]",1.74,1,0
074319D7838A4620AC283635EBA30D3C,3,True,4,0,False,0.0,[0.0],0,0.0,[1],1.0,0,1
074319D7838A4620AC283635EBA30D3C,3,True,5,0,False,0.0,[0.0],0,-0.7,[0.6],1.2999999999999998,0,1
074319D7838A4620AC283635EBA30D3C,3,True,1,1,True,0.0,"[0.0, 0.0]","[0, 0]",-0.9,"[-0.6112406675792128, -2.0491026589946184]",1.635,1,0
074319D7838A4620AC283635EBA30D3C,3,True,2,2,True,0.0,[0.0],0,0.33333333333333304,[-0.2666666666666675],0.6000000000000005,-1,0
074319D7838A4620AC283635EBA30D3C,3,True,3,2,True,0.0,[0.0],0,-1.0,[1.6999999999999993],2.6999999999999993,-1,0
074A1C2E60F245C0A0873ADBD8F6DF8B,3,False,3,1,False,1.0,"[-1.0, -1.0]","[2, 2]",2.0,"[-1.6801478523392919, 1.217707898001784]",2.1666666666666665,0,1
074A1C2E60F245C0A0873ADBD8F6DF8B,3,False,2,2,False,1.0,[-1.0],2,-0.06666666666666732,[-0.9333333333333336],0.8666666666666663,0,-1
074A1C2E60F245C0A0873ADBD8F6DF8B,3,False,5,0,False,1.0,[-1.0],2,-2.0,[2.7],4.7,0,0
074A1C2E60F245C0A0873ADBD8F6DF8B,3,False,0,2,False,1.0,[-1.0],2,1.0,[2.8],1.7999999999999998,0,-1
074A1C2E60F245C0A0873ADBD8F6DF8B,3,False,4,1,False,1.0,"[-1.0, -1.0]","[2, 2]",-2.0,"[-1.8906760814352028, 0.07724380178774481]",2.1666666666666665,0,1
074A1C2E60F245C0A0873ADBD8F6DF8B,3,False,1,0,False,1.0,[-1.0],2,-1.0,[-1.7],0.7,0,0
07523332618D4AE4AE94908E956B8799,3,False,3,1,True,2.0,"[1.0, -2.0]","[1, 4]",-3.0,"[-0.28455628720180304, -1.6487616608265223]",3.0,1,1
07523332618D4AE4AE94908E956B8799,3,False,2,2,True,2.0,[-2.0],4,1.0,[-1.3333333333333337],2.333333333333334,0,0
