participantId,ideology_all_zeros,idx_of_question,who_answers_first,bot_detection,ideology,bot_ideology,ideology_distance,answer,bot_answer,answer_distance,condition,affection_competence,affection_warmth
000D1F259F974E9682C4EBD24445552A,False,3,1,True,2.0,"[0.0, 0.0]","[2, 2]",3.0,"[1.5239137251037924, -2.2284343440759713]",5.6501365097757335,1,,
000D1F259F974E9682C4EBD24445552A,False,0,0,True,2.0,[0.0],[2],3.0,[-2.8],5.8,1,,
000D1F259F974E9682C4EBD24445552A,False,4,0,True,2.0,[0.0],[2],1.0,[-1.7],2.7,1,,
000D1F259F974E9682C4EBD24445552A,False,2,1,True,2.0,"[0.0, 0.0]","[2, 2]",2.0,"[0.2750816069251627, 2.904114762039784]",0.09316199021507643,1,,
000D1F259F974E9682C4EBD24445552A,False,1,2,True,2.0,[0.0],[2],1.1,[0.9],0.20000000000000007,1,,
000D1F259F974E9682C4EBD24445552A,False,5,2,True,2.0,[0.0],[2],-2.0,[-1.4],0.6000000000000001,1,,
008A190019B6486B9A3B1E4D019EAEF1,False,0,1,True,1.0,"[0.0, -1.0]","[1, 2]",1.0,"[-0.23812474829483588, -2.529935231974825]",1.7674721391067454,1,,
008A190019B6486B9A3B1E4D019EAEF1,False,1,1,True,1.0,"[0.0, -1.0]","[1, 2]",-2.0,"[1.1531573934005364, -0.5977672023813856]",4.024013822505415,1,,
008A190019B6486B9A3B1E4D019EAEF1,False,2,2,True,1.0,[-1.0],[2],0.5333333333333328,[-0.4000000000000003],0.9333333333333331,1,,
008A190019B6486B9A3B1E4D019EAEF1,False,3,0,False,1.0,[0.0],[1],1.9499999999999993,[0.75],1.1999999999999993,1,,
008A190019B6486B9A3B1E4D019EAEF1,False,4,2,True,1.0,[-1.0],[2],-1.9,[1.7],3.5999999999999996,1,,
008A190019B6486B9A3B1E4D019EAEF1,False,5,0,False,1.0,[0.0],[1],1.0,[0.3],0.7,1,,
0162A54DBD78426689292407F226B9B2,False,1,1,True,-2.0,"[-0.1, -0.1]","[1.9, 1.9]",2.0,"[-2.806383436256258, -1.9707880482202902]",3.375942085569216,1,,
0162A54DBD78426689292407F226B9B2,False,4,0,False,-2.0,[-0.1],[1.9],-1.0,[1.4],2.4,1,,
0162A54DBD78426689292407F226B9B2,False,0,0,False,-2.0,[-0.1],[1.9],1.4,[0.2],1.2,1,,
0162A54DBD78426689292407F226B9B2,False,2,2,True,-2.0,[-0.1],[1.9],1.0666666666666655,[1.7333333333333334],0.6666666666666679,1,,
0162A54DBD78426689292407F226B9B2,False,5,1,True,-2.0,"[-0.1, -0.1]","[1.9, 1.9]",-1.0,"[-0.7008971792369896, -1.3609429714039565]",0.6162226162034399,1,,
0162A54DBD78426689292407F226B9B2,False,3,2,True,-2.0,[-0.1],[1.9],1.6500000000000004,[1.0999999999999996],0.5500000000000007,1,,
05F5987ECD4D492E96AF3637F44C1FD5,False,5,1,False,0.9,"[-0.8, -0.6]","[1.7000000000000002, 1.5]",-1.8,"[1.8088930579267393, 1.5645072727543639]",4.670788611958957,1,,
05F5987ECD4D492E96AF3637F44C1FD5,False,2,1,False,0.9,"[-0.8, -0.6]","[1.7000000000000002, 1.5]",-1.666666666666667,"[-2.1695015400114306, -2.763090472037498]",3.920697314986275,1,,
05F5987ECD4D492E96AF3637F44C1FD5,False,0,2,False,0.9,[-0.6],[1.5],2.0,[2.5],0.5,1,,
05F5987ECD4D492E96AF3637F44C1FD5,False,3,2,False,0.9,[-0.6],[1.5],3.0,[0.9499999999999992],2.0500000000000007,1,,
05F5987ECD4D492E96AF3637F44C1FD5,False,4,0,False,0.9,[-0.8],[1.7000000000000002],-1.8,[0.3],2.1,1,,
05F5987ECD4D492E96AF3637F44C1FD5,False,1,0,False,0.9,[-0.8],[1.7000000000000002],-2.7,[0.4],3.1,1,,
06D0A0B7823B4E6BBFEFA270E8EEB2F7,False,5,1,False,1.1,"[-0.7, -0.7]","[1.8, 1.8]",2.2,"[-1.3076690969176048, -2.2488104858512417]",3.102597659933534,1,,
06D0A0B7823B4E6BBFEFA270E8EEB2F7,False,0,0,False,1.1,[-0.7],[1.8],2.7,[0.5],2.2,1,,
06D0A0B7823B4E6BBFEFA270E8EEB2F7,False,3,0,False,1.1,[-0.7],[1.8],0.4499999999999993,[-1.4499999999999993],1.8999999999999986,1,,
06D0A0B7823B4E6BBFEFA270E8EEB2F7,False,2,2,False,1.1,[-0.7],[1.8],-0.6666666666666674,[2.533333333333333],3.2000000000000006,1,,
06D0A0B7823B4E6BBFEFA270E8EEB2F7,False,4,2,False,1.1,[-0.7],[1.8],2.1,[-2],4.1,1,,
06D0A0B7823B4E6BBFEFA270E8EEB2F7,False,1,1,False,1.1,"[-0.7, -0.7]","[1.8, 1.8]",1.6,"[0.6832111626531594, -2.87751967535584]",0.5940573783665823,1,,
077EBB20179F4DDF9DA032AF2B7EE4F4,False,1,1,False,-1.7,"[1.0, -1.0]","[2.7, 0.7]",2.1,"[0.7438106668766933, -1.1683451208707383]",1.66925452796491,1,,
077EBB20179F4DDF9DA032AF2B7EE4F4,False,5,0,True,-1.7,[1.0],[2.7],1.1,[-0.6],1.7000000000000002,1,,
077EBB20179F4DDF9DA032AF2B7EE4F4,False,0,1,False,-1.7,"[1.0, -1.0]","[2.7, 0.7]",2.3,"[1.3384146870612943, -0.2018509612166106]",0.4121943510244037,1,,
077EBB20179F4DDF9DA032AF2B7EE4F4,False,2,0,True,-1.7,[1.0],[2.7],1.0,[1],0.0,1,,
077EBB20179F4DDF9DA032AF2B7EE4F4,False,3,2,False,-1.7,[-1.0],[0.7],2.0500000000000007,[2.1500000000000004],0.09999999999999964,1,,
077EBB20179F4DDF9DA032AF2B7EE4F4,False,4,2,False,-1.7,[-1.0],[0.7],0.9,[0.8],0.09999999999999998,1,,
08118FE4A7504A34B93DEC7B88ED4EB6,False,3,1,False,0.7,"[-0.2, -0.4]","[0.8999999999999999, 1.1]",1.5500000000000007,"[-1.7619378829749401, -0.8815287172070407]",2.1701867505927606,1,,
