participantId,condition,ideology_all_zeros,idx_of_question,who_answers_first,bot_detection,ideology,bot_ideology,ideology_distance,answer,bot_answer,answer_distance
000D1F259F974E9682C4EBD24445552A,1,False,3,1,True,2.0,"[0.0, 0.0]","[2, 2]",3.0,"[0.6234096504422926, 0.37777061762062925]",3.0
000D1F259F974E9682C4EBD24445552A,1,False,0,0,True,2.0,[0.0],2,3.0,[-2.8],5.8
000D1F259F974E9682C4EBD24445552A,1,False,4,0,True,2.0,[0.0],2,1.0,[-1.7],2.7
000D1F259F974E9682C4EBD24445552A,1,False,2,1,True,2.0,"[0.0, 0.0]","[2, 2]",2.0,"[1.7617018891305793, 1.1339081370456467]",2.1666666666666665
000D1F259F974E9682C4EBD24445552A,1,False,1,2,True,2.0,[0.0],2,1.1,[0.9],0.20000000000000007
000D1F259F974E9682C4EBD24445552A,1,False,5,2,True,2.0,[0.0],2,-2.0,[-1.4],0.6000000000000001
008A190019B6486B9A3B1E4D019EAEF1,1,False,0,1,True,1.0,"[0.0, -1.0]","[1, 2]",1.0,"[-2.091246290405216, 0.24393493267480526]",1.6666666666666667
008A190019B6486B9A3B1E4D019EAEF1,1,False,1,1,True,1.0,"[0.0, -1.0]","[1, 2]",-2.0,"[-2.840282294203965, -2.564417855400598]",2.1666666666666665
008A190019B6486B9A3B1E4D019EAEF1,1,False,2,2,True,1.0,[-1.0],2,0.5333333333333328,[-0.4000000000000003],0.9333333333333331
008A190019B6486B9A3B1E4D019EAEF1,1,False,3,0,False,1.0,[0.0],1,1.9499999999999993,[0.75],1.1999999999999993
008A190019B6486B9A3B1E4D019EAEF1,1,False,4,2,True,1.0,[-1.0],2,-1.9,[1.7],3.5999999999999996
008A190019B6486B9A3B1E4D019EAEF1,1,False,5,0,False,1.0,[0.0],1,1.0,[0.3],0.7
0162A54DBD78426689292407F226B9B2,1,False,1,1,True,-2.0,"[-0.1, -0.1]","[1.9, 1.9]",2.0,"[2.395509225798434, 2.2862010163583326]",2.1666666666666665
0162A54DBD78426689292407F226B9B2,1,False,4,0,False,-2.0,[-0.1],1.9,-1.0,[1.4],2.4
0162A54DBD78426689292407F226B9B2,1,False,0,0,False,-2.0,[-0.1],1.9,1.4,[0.2],1.2
0162A54DBD78426689292407F226B9B2,1,False,2,2,True,-2.0,[-0.1],1.9,1.0666666666666655,[1.7333333333333334],0.6666666666666679
0162A54DBD78426689292407F226B9B2,1,False,5,1,True,-2.0,"[-0.1, -0.1]","[1.9, 1.9]",-1.0,"[-1.2116666760267503, -2.0486021754680275]",1.6666666666666667
0162A54DBD78426689292407F226B9B2,1,False,3,2,True,-2.0,[-0.1],1.9,1.6500000000000004,[1.0999999999999996],0.5500000000000007
05F5987ECD4D492E96AF3637F44C1FD5,1,False,5,1,False,0.9,"[-0.8, -0.6]","[1.7000000000000002, 1.5]",-1.8,"[-2.1914954786329846, 0.479344305424954]",2.04
05F5987ECD4D492E96AF3637F44C1FD5,1,False,2,1,False,0.9,"[-0.8, -0.6]","[1.7000000000000002, 1.5]",-1.666666666666667,"[-2.183357744646346, -1.2051198477600953]",1.962962962962963
05F5987ECD4D492E96AF3637F44C1FD5,1,False,0,2,False,0.9,[-0.6],1.5,2.0,[2.5],0.5
05F5987ECD4D492E96AF3637F44C1FD5,1,False,3,2,False,0.9,[-0.6],1.5,3.0,[0.9499999999999992],2.0500000000000007
05F5987ECD4D492E96AF3637F44C1FD5,1,False,4,0,False,0.9,[-0.8],1.7000000000000002,-1.8,[0.3],2.1
